2002-04-10,16.347554213964518,16.769794581774203,15.982373590631626,16.69561767578125,60569500
2002-04-11,16.450255663766153,16.798319001327435,16.267665417282767,16.51302146911621,42024500
2002-04-12,16.63284830378057,16.63284830378057,16.016605589057576,16.199195861816406,40682600
2002-04-15,16.096493093041662,16.387496830300368,15.839725857806934,16.0394344329834,42941400
2002-04-16,16.592906475895795,17.00373458114146,16.535846744752934,16.8382625579834,60448200
2002-04-17,17.802577895846902,17.84822548682807,17.29474722181642,17.483043670654297,63790400
2002-04-18,17.425983646275622,17.648515499004407,17.037978608874628,17.374629974365234,45465200
2002-04-19,17.585739549837477,17.602857793409452,17.152087174260803,17.174911499023438,34806900
2002-04-22,17.083623062890176,17.243389045463758,16.84967908412961,17.1520938873291,34145800
2002-04-23,17.214857420477983,17.311858649098138,16.752675608028536,16.855382919311523,42582500
2002-04-24,16.923863005810368,17.112159483539997,16.47879810921097,16.49591636657715,38224600
2002-04-25,16.35326515608526,16.821153240829275,16.073673522233943,16.598621368408203,49886000
2002-04-26,16.79261680812419,16.809733967492868,16.033725240267078,16.045137405395508,39343600
2002-04-29,16.073675303562275,16.233442435607895,15.697082360041824,15.99949836730957,40652200
2002-04-30,15.98237816495654,16.689916369330955,15.919612319235414,16.324735641479492,45052800
2002-05-01,16.30190998261646,16.57579550634124,15.714197432330913,16.336145401000977,46014800
2002-05-02,16.267674166233007,16.67279635745713,15.845433722073269,15.902493476867676,41815600
2002-05-03,15.902494578898525,15.959595315071878,15.125927180795205,15.165897369384766,50945400
2002-05-06,15.131633723964931,15.41713624705861,14.703379939324416,14.720510482788086,44269700
2002-05-07,14.931783676147461,15.40571788237267,14.59489056808433,14.931783676147461,55914400
2002-05-08,15.554178838636112,16.593407949407762,15.457107927788991,16.547727584838867,58152400
2002-05-09,16.359291227821526,16.473492650867858,15.873936813532845,16.125179290771484,41394900
2002-05-10,16.250805487022692,16.336457127860047,15.37145815261698,15.42284870147705,43997500
2002-05-13,15.531334548411435,16.307900513458176,15.47994401752751,16.28506088256836,40695200
2002-05-14,17.084474130603738,17.330006519346874,16.77042173376375,17.215805053710938,57087400
2002-05-15,16.947422824614918,17.701148994646243,16.844641785227875,17.26718521118164,53419600
2002-05-16,17.255776433134212,17.581250305970354,17.07876512935404,17.5698299407959,37284100
2002-05-17,17.70115766277906,17.9067198422155,17.46704566469012,17.815359115600586,53195200
2002-05-20,17.47275564158707,17.586956003965224,17.084472013468684,17.238643646240234,37234800
2002-05-21,17.24434965773002,17.324290000974283,16.536302572317553,16.59911346435547,48063600
2002-05-22,16.507752617226338,16.941716499399785,16.393551194352355,16.89603614807129,41216600
2002-05-23,16.930296977474264,17.01594750431738,16.23938149328683,16.781835556030273,42332100
2002-05-24,16.439231015405593,16.559141517416304,16.21653837164868,16.364999771118164,26029600
2002-05-28,16.307902624125653,16.342163708552864,15.799708518617148,16.187992095947266,42888200
2002-05-29,15.919616579470416,15.982427468746513,15.559883961583326,15.571304321289062,35346600
2002-05-30,15.422845656252434,15.822548515113814,15.188733686162097,15.656957626342773,40982400
